text,label
"Click here to claim your prize now!","phishing"
"Your account has been suspended. Verify immediately.","phishing"
"Congratulations! You won $1000. Click to claim.","phishing"
"Urgent: Update your payment information now.","phishing"
"Free money! No strings attached.","phishing"
"Your bank account will be closed in 24 hours.","phishing"
"Click here for exclusive deals and discounts.","phishing"
"Verify your identity to prevent account closure.","phishing"
"Limited time offer - Act now!","phishing"
"Your package delivery failed. Click to reschedule.","phishing"
"Meeting scheduled for tomorrow at 2 PM","legitimate"
"Please review the attached document","legitimate"
"Thank you for your recent purchase","legitimate"
"Your subscription will renew automatically","legitimate"
"Password reset request confirmation","legitimate"
"Monthly newsletter - March 2024","legitimate"
"Your order has been shipped","legitimate"
"Team meeting moved to next week","legitimate"
"Please find the report attached","legitimate"
"Your payment was processed successfully","legitimate"
"Win a free iPhone! Click now!","phishing"
"Your Netflix account is about to expire","phishing"
"Verify your PayPal account immediately","phishing"
"Congratulations! You're our 1 millionth visitor","phishing"
"Your credit card has been compromised","phishing"
"Click here to unlock your account","phishing"
"Free gift card worth $500 - Limited time","phishing"
"Your Amazon order needs verification","phishing"
"Bank security alert - Action required","phishing"
"Your social security number needs verification","phishing"
"Project update: All tasks completed on time","legitimate"
"Please confirm your attendance for the event","legitimate"
"Your insurance claim has been approved","legitimate"
"New features added to your account","legitimate"
"Your monthly statement is ready","legitimate"
"Team building event scheduled for Friday","legitimate"
"Your warranty expires in 30 days","legitimate"
"Please update your contact information","legitimate"
"Your appointment has been confirmed","legitimate"
"System maintenance scheduled for tonight","legitimate"
"Claim your inheritance money now!","phishing"
"Your Apple ID has been locked","phishing"
"Verify your Google account to continue","phishing"
"Free vacation to Hawaii - Click here","phishing"
"Your Microsoft account needs attention","phishing"
"IRS tax refund - Click to claim","phishing"
"Your eBay account is suspended","phishing"
"Free Bitcoin giveaway - Limited time","phishing"
"Your Instagram account will be deleted","phishing"
"Bank fraud alert - Immediate action needed","phishing"
"Meeting minutes from yesterday's session","legitimate"
"Your loan application has been processed","legitimate"
"Please complete the customer satisfaction survey","legitimate"
"Your membership renewal is due","legitimate"
"New security features enabled on your account","legitimate"
"Your delivery is scheduled for tomorrow","legitimate"
"Please review and sign the contract","legitimate"
"Your subscription includes new benefits","legitimate"
"System backup completed successfully","legitimate"
"Your request has been approved","legitimate"
"Win $10,000 in our lottery! Enter now!","phishing"
"Your Facebook account is being hacked","phishing"
"Verify your Twitter account immediately","phishing"
"Free money transfer - No fees!","phishing"
"Your LinkedIn profile needs verification","phishing"
"Bank account frozen - Call now!","phishing"
"Your WhatsApp account will be deleted","phishing"
"Free cryptocurrency - Claim yours!","phishing"
"Your YouTube channel is suspended","phishing"
"IRS audit notice - Respond immediately","phishing"
"Your reservation has been confirmed","legitimate"
"Please provide feedback on our service","legitimate"
"Your application is under review","legitimate"
"New password requirements effective immediately","legitimate"
"Your subscription will auto-renew next month","legitimate"
"Please confirm your shipping address","legitimate"
"Your account balance is $1,250.50","legitimate"
"System update completed successfully","legitimate"
"Your request has been forwarded to support","legitimate"
"Please review the terms and conditions","legitimate"
